"Geography" "Age" "Gender" "Hispanic" "Race" "Freq" "TotalCountyPopulation"
"ALAMANCE" "41-65" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 8 151131
"ALAMANCE" "66+" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 1 151131
"ALAMANCE" "18-25" "Male" "Hispanic" "SomeOtherRaceAlone" 672 151131
"ALAMANCE" "26-40" "Male" "Hispanic" "SomeOtherRaceAlone" 1379 151131
"ALAMANCE" "41-65" "Male" "Hispanic" "SomeOtherRaceAlone" 762 151131
"ALAMANCE" "66+" "Male" "Hispanic" "SomeOtherRaceAlone" 51 151131
"ALAMANCE" "18-25" "Female" "Hispanic" "SomeOtherRaceAlone" 629 151131
"ALAMANCE" "26-40" "Female" "Hispanic" "SomeOtherRaceAlone" 1228 151131
"ALAMANCE" "41-65" "Female" "Hispanic" "SomeOtherRaceAlone" 619 151131
"ALAMANCE" "66+" "Female" "Hispanic" "SomeOtherRaceAlone" 41 151131
"ALAMANCE" "18-25" "Male" "NotHispanic" "SomeOtherRaceAlone" 16 151131
"ALAMANCE" "26-40" "Male" "NotHispanic" "SomeOtherRaceAlone" 15 151131
"ALAMANCE" "41-65" "Male" "NotHispanic" "SomeOtherRaceAlone" 9 151131
"ALAMANCE" "66+" "Male" "NotHispanic" "SomeOtherRaceAlone" 1 151131
"ALAMANCE" "18-25" "Female" "NotHispanic" "SomeOtherRaceAlone" 23 151131
"ALAMANCE" "26-40" "Female" "NotHispanic" "SomeOtherRaceAlone" 24 151131
"ALAMANCE" "41-65" "Female" "NotHispanic" "SomeOtherRaceAlone" 17 151131
"ALAMANCE" "66+" "Female" "NotHispanic" "SomeOtherRaceAlone" 1 151131
"ALAMANCE" "18-25" "Male" "Hispanic" "TwoOrMoreRaces" 64 151131
"ALAMANCE" "26-40" "Male" "Hispanic" "TwoOrMoreRaces" 96 151131
"ALAMANCE" "41-65" "Male" "Hispanic" "TwoOrMoreRaces" 71 151131
"ALAMANCE" "66+" "Male" "Hispanic" "TwoOrMoreRaces" 7 151131
"ALAMANCE" "18-25" "Female" "Hispanic" "TwoOrMoreRaces" 61 151131
"ALAMANCE" "26-40" "Female" "Hispanic" "TwoOrMoreRaces" 93 151131
"ALAMANCE" "41-65" "Female" "Hispanic" "TwoOrMoreRaces" 75 151131
"ALAMANCE" "66+" "Female" "Hispanic" "TwoOrMoreRaces" 6 151131
"ALAMANCE" "18-25" "Male" "NotHispanic" "TwoOrMoreRaces" 126 151131
"ALAMANCE" "26-40" "Male" "NotHispanic" "TwoOrMoreRaces" 137 151131
"ALAMANCE" "41-65" "Male" "NotHispanic" "TwoOrMoreRaces" 155 151131
"ALAMANCE" "66+" "Male" "NotHispanic" "TwoOrMoreRaces" 27 151131
"ALAMANCE" "18-25" "Female" "NotHispanic" "TwoOrMoreRaces" 167 151131
"ALAMANCE" "26-40" "Female" "NotHispanic" "TwoOrMoreRaces" 125 151131
"ALAMANCE" "41-65" "Female" "NotHispanic" "TwoOrMoreRaces" 159 151131
"ALAMANCE" "66+" "Female" "NotHispanic" "TwoOrMoreRaces" 48 151131
"ALEXANDER" "18-25" "Male" "Hispanic" "WhiteAlone" 27 37198
"ALEXANDER" "26-40" "Male" "Hispanic" "WhiteAlone" 74 37198
"ALEXANDER" "41-65" "Male" "Hispanic" "WhiteAlone" 65 37198
"ALEXANDER" "66+" "Male" "Hispanic" "WhiteAlone" 5 37198
"ALEXANDER" "18-25" "Female" "Hispanic" "WhiteAlone" 27 37198
"ALEXANDER" "26-40" "Female" "Hispanic" "WhiteAlone" 76 37198
"ALEXANDER" "41-65" "Female" "Hispanic" "WhiteAlone" 58 37198
"ALEXANDER" "66+" "Female" "Hispanic" "WhiteAlone" 21 37198
"ALEXANDER" "18-25" "Male" "NotHispanic" "WhiteAlone" 1314 37198
"ALEXANDER" "26-40" "Male" "NotHispanic" "WhiteAlone" 3102 37198
"ALEXANDER" "41-65" "Male" "NotHispanic" "WhiteAlone" 6069 37198
"ALEXANDER" "66+" "Male" "NotHispanic" "WhiteAlone" 2177 37198
"ALEXANDER" "18-25" "Female" "NotHispanic" "WhiteAlone" 1319 37198
"ALEXANDER" "26-40" "Female" "NotHispanic" "WhiteAlone" 2947 37198
"ALEXANDER" "41-65" "Female" "NotHispanic" "WhiteAlone" 6022 37198
"ALEXANDER" "66+" "Female" "NotHispanic" "WhiteAlone" 2718 37198
"ALEXANDER" "18-25" "Male" "Hispanic" "BlackAlone" 1 37198
"ALEXANDER" "26-40" "Male" "Hispanic" "BlackAlone" 3 37198
"ALEXANDER" "41-65" "Male" "Hispanic" "BlackAlone" 0 37198
"ALEXANDER" "66+" "Male" "Hispanic" "BlackAlone" 0 37198
"ALEXANDER" "18-25" "Female" "Hispanic" "BlackAlone" 1 37198
"ALEXANDER" "26-40" "Female" "Hispanic" "BlackAlone" 3 37198
"ALEXANDER" "41-65" "Female" "Hispanic" "BlackAlone" 0 37198
"ALEXANDER" "66+" "Female" "Hispanic" "BlackAlone" 0 37198
"ALEXANDER" "18-25" "Male" "NotHispanic" "BlackAlone" 142 37198
"ALEXANDER" "26-40" "Male" "NotHispanic" "BlackAlone" 423 37198
"ALEXANDER" "41-65" "Male" "NotHispanic" "BlackAlone" 403 37198
"ALEXANDER" "66+" "Male" "NotHispanic" "BlackAlone" 96 37198
"ALEXANDER" "18-25" "Female" "NotHispanic" "BlackAlone" 64 37198
"ALEXANDER" "26-40" "Female" "NotHispanic" "BlackAlone" 119 37198
"ALEXANDER" "41-65" "Female" "NotHispanic" "BlackAlone" 290 37198
"ALEXANDER" "66+" "Female" "NotHispanic" "BlackAlone" 144 37198
"ALEXANDER" "18-25" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 0 37198
"ALEXANDER" "26-40" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 3 37198
"ALEXANDER" "41-65" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 3 37198
"ALEXANDER" "66+" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 0 37198
"ALEXANDER" "18-25" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 0 37198
"ALEXANDER" "26-40" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 2 37198
"ALEXANDER" "41-65" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 3 37198
"ALEXANDER" "66+" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 1 37198
"ALEXANDER" "18-25" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 1 37198
"ALEXANDER" "26-40" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 18 37198
"ALEXANDER" "41-65" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 26 37198
"ALEXANDER" "66+" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 6 37198
"ALEXANDER" "18-25" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 2 37198
"ALEXANDER" "26-40" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 9 37198
"ALEXANDER" "41-65" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 15 37198
"ALEXANDER" "66+" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 1 37198
"ALEXANDER" "18-25" "Male" "Hispanic" "AsianAlone" 0 37198
"ALEXANDER" "26-40" "Male" "Hispanic" "AsianAlone" 0 37198
"ALEXANDER" "41-65" "Male" "Hispanic" "AsianAlone" 0 37198
"ALEXANDER" "66+" "Male" "Hispanic" "AsianAlone" 0 37198
"ALEXANDER" "18-25" "Female" "Hispanic" "AsianAlone" 1 37198
"ALEXANDER" "26-40" "Female" "Hispanic" "AsianAlone" 1 37198
"ALEXANDER" "41-65" "Female" "Hispanic" "AsianAlone" 1 37198
"ALEXANDER" "66+" "Female" "Hispanic" "AsianAlone" 0 37198
"ALEXANDER" "18-25" "Male" "NotHispanic" "AsianAlone" 41 37198
"ALEXANDER" "26-40" "Male" "NotHispanic" "AsianAlone" 30 37198
"ALEXANDER" "41-65" "Male" "NotHispanic" "AsianAlone" 41 37198
"ALEXANDER" "66+" "Male" "NotHispanic" "AsianAlone" 8 37198
"ALEXANDER" "18-25" "Female" "NotHispanic" "AsianAlone" 30 37198
"ALEXANDER" "26-40" "Female" "NotHispanic" "AsianAlone" 33 37198
"ALEXANDER" "41-65" "Female" "NotHispanic" "AsianAlone" 44 37198
"ALEXANDER" "66+" "Female" "NotHispanic" "AsianAlone" 10 37198
"ALEXANDER" "18-25" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "26-40" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "41-65" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "66+" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "18-25" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 1 37198
"ALEXANDER" "26-40" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "41-65" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "66+" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "18-25" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 1 37198
"ALEXANDER" "26-40" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "41-65" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 2 37198
"ALEXANDER" "66+" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "18-25" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "26-40" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 37198
"ALEXANDER" "41-65" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 6 37198
"ALEXANDER" "66+" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 1 37198
"ALEXANDER" "18-25" "Male" "Hispanic" "SomeOtherRaceAlone" 55 37198
"ALEXANDER" "26-40" "Male" "Hispanic" "SomeOtherRaceAlone" 147 37198
"ALEXANDER" "41-65" "Male" "Hispanic" "SomeOtherRaceAlone" 85 37198
"ALEXANDER" "66+" "Male" "Hispanic" "SomeOtherRaceAlone" 3 37198
"ALEXANDER" "18-25" "Female" "Hispanic" "SomeOtherRaceAlone" 45 37198
"ALEXANDER" "26-40" "Female" "Hispanic" "SomeOtherRaceAlone" 100 37198
"ALEXANDER" "41-65" "Female" "Hispanic" "SomeOtherRaceAlone" 54 37198
"ALEXANDER" "66+" "Female" "Hispanic" "SomeOtherRaceAlone" 2 37198
"ALEXANDER" "18-25" "Male" "NotHispanic" "SomeOtherRaceAlone" 1 37198
"ALEXANDER" "26-40" "Male" "NotHispanic" "SomeOtherRaceAlone" 2 37198
"ALEXANDER" "41-65" "Male" "NotHispanic" "SomeOtherRaceAlone" 0 37198
"ALEXANDER" "66+" "Male" "NotHispanic" "SomeOtherRaceAlone" 0 37198
"ALEXANDER" "18-25" "Female" "NotHispanic" "SomeOtherRaceAlone" 0 37198
"ALEXANDER" "26-40" "Female" "NotHispanic" "SomeOtherRaceAlone" 1 37198
"ALEXANDER" "41-65" "Female" "NotHispanic" "SomeOtherRaceAlone" 1 37198
"ALEXANDER" "66+" "Female" "NotHispanic" "SomeOtherRaceAlone" 0 37198
"ALEXANDER" "18-25" "Male" "Hispanic" "TwoOrMoreRaces" 5 37198
"ALEXANDER" "26-40" "Male" "Hispanic" "TwoOrMoreRaces" 8 37198
"ALEXANDER" "41-65" "Male" "Hispanic" "TwoOrMoreRaces" 5 37198
"ALEXANDER" "66+" "Male" "Hispanic" "TwoOrMoreRaces" 0 37198
"ALEXANDER" "18-25" "Female" "Hispanic" "TwoOrMoreRaces" 2 37198
"ALEXANDER" "26-40" "Female" "Hispanic" "TwoOrMoreRaces" 5 37198
"ALEXANDER" "41-65" "Female" "Hispanic" "TwoOrMoreRaces" 2 37198
"ALEXANDER" "66+" "Female" "Hispanic" "TwoOrMoreRaces" 1 37198
"ALEXANDER" "18-25" "Male" "NotHispanic" "TwoOrMoreRaces" 23 37198
"ALEXANDER" "26-40" "Male" "NotHispanic" "TwoOrMoreRaces" 21 37198
"ALEXANDER" "41-65" "Male" "NotHispanic" "TwoOrMoreRaces" 28 37198
"ALEXANDER" "66+" "Male" "NotHispanic" "TwoOrMoreRaces" 9 37198
"ALEXANDER" "18-25" "Female" "NotHispanic" "TwoOrMoreRaces" 13 37198
"ALEXANDER" "26-40" "Female" "NotHispanic" "TwoOrMoreRaces" 23 37198
"ALEXANDER" "41-65" "Female" "NotHispanic" "TwoOrMoreRaces" 40 37198
"ALEXANDER" "66+" "Female" "NotHispanic" "TwoOrMoreRaces" 13 37198
"ALLEGHANY" "18-25" "Male" "Hispanic" "WhiteAlone" 35 11155
"ALLEGHANY" "26-40" "Male" "Hispanic" "WhiteAlone" 72 11155
"ALLEGHANY" "41-65" "Male" "Hispanic" "WhiteAlone" 60 11155
"ALLEGHANY" "66+" "Male" "Hispanic" "WhiteAlone" 10 11155
"ALLEGHANY" "18-25" "Female" "Hispanic" "WhiteAlone" 13 11155
"ALLEGHANY" "26-40" "Female" "Hispanic" "WhiteAlone" 40 11155
"ALLEGHANY" "41-65" "Female" "Hispanic" "WhiteAlone" 42 11155
"ALLEGHANY" "66+" "Female" "Hispanic" "WhiteAlone" 8 11155
"ALLEGHANY" "18-25" "Male" "NotHispanic" "WhiteAlone" 332 11155
"ALLEGHANY" "26-40" "Male" "NotHispanic" "WhiteAlone" 730 11155
"ALLEGHANY" "41-65" "Male" "NotHispanic" "WhiteAlone" 1869 11155
"ALLEGHANY" "66+" "Male" "NotHispanic" "WhiteAlone" 915 11155
"ALLEGHANY" "18-25" "Female" "NotHispanic" "WhiteAlone" 359 11155
"ALLEGHANY" "26-40" "Female" "NotHispanic" "WhiteAlone" 741 11155
"ALLEGHANY" "41-65" "Female" "NotHispanic" "WhiteAlone" 1933 11155
"ALLEGHANY" "66+" "Female" "NotHispanic" "WhiteAlone" 1183 11155
"ALLEGHANY" "18-25" "Male" "Hispanic" "BlackAlone" 1 11155
"ALLEGHANY" "26-40" "Male" "Hispanic" "BlackAlone" 0 11155
"ALLEGHANY" "41-65" "Male" "Hispanic" "BlackAlone" 0 11155
"ALLEGHANY" "66+" "Male" "Hispanic" "BlackAlone" 0 11155
"ALLEGHANY" "18-25" "Female" "Hispanic" "BlackAlone" 0 11155
"ALLEGHANY" "26-40" "Female" "Hispanic" "BlackAlone" 2 11155
"ALLEGHANY" "41-65" "Female" "Hispanic" "BlackAlone" 1 11155
"ALLEGHANY" "66+" "Female" "Hispanic" "BlackAlone" 0 11155
"ALLEGHANY" "18-25" "Male" "NotHispanic" "BlackAlone" 5 11155
"ALLEGHANY" "26-40" "Male" "NotHispanic" "BlackAlone" 6 11155
"ALLEGHANY" "41-65" "Male" "NotHispanic" "BlackAlone" 32 11155
"ALLEGHANY" "66+" "Male" "NotHispanic" "BlackAlone" 6 11155
"ALLEGHANY" "18-25" "Female" "NotHispanic" "BlackAlone" 2 11155
"ALLEGHANY" "26-40" "Female" "NotHispanic" "BlackAlone" 8 11155
"ALLEGHANY" "41-65" "Female" "NotHispanic" "BlackAlone" 28 11155
"ALLEGHANY" "66+" "Female" "NotHispanic" "BlackAlone" 10 11155
"ALLEGHANY" "18-25" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 2 11155
"ALLEGHANY" "26-40" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 4 11155
"ALLEGHANY" "41-65" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 3 11155
"ALLEGHANY" "66+" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 0 11155
"ALLEGHANY" "18-25" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 0 11155
"ALLEGHANY" "26-40" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 0 11155
"ALLEGHANY" "41-65" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 0 11155
"ALLEGHANY" "66+" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 0 11155
"ALLEGHANY" "18-25" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 2 11155
"ALLEGHANY" "26-40" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 1 11155
"ALLEGHANY" "41-65" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 3 11155
"ALLEGHANY" "66+" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 1 11155
"ALLEGHANY" "18-25" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 1 11155
"ALLEGHANY" "26-40" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 1 11155
"ALLEGHANY" "41-65" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 2 11155
"ALLEGHANY" "66+" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 1 11155
"ALLEGHANY" "18-25" "Male" "Hispanic" "AsianAlone" 1 11155
"ALLEGHANY" "26-40" "Male" "Hispanic" "AsianAlone" 0 11155
"ALLEGHANY" "41-65" "Male" "Hispanic" "AsianAlone" 0 11155
"ALLEGHANY" "66+" "Male" "Hispanic" "AsianAlone" 0 11155
"ALLEGHANY" "18-25" "Female" "Hispanic" "AsianAlone" 0 11155
"ALLEGHANY" "26-40" "Female" "Hispanic" "AsianAlone" 0 11155
"ALLEGHANY" "41-65" "Female" "Hispanic" "AsianAlone" 0 11155
"ALLEGHANY" "66+" "Female" "Hispanic" "AsianAlone" 0 11155
"ALLEGHANY" "18-25" "Male" "NotHispanic" "AsianAlone" 5 11155
"ALLEGHANY" "26-40" "Male" "NotHispanic" "AsianAlone" 5 11155
"ALLEGHANY" "41-65" "Male" "NotHispanic" "AsianAlone" 5 11155
"ALLEGHANY" "66+" "Male" "NotHispanic" "AsianAlone" 3 11155
"ALLEGHANY" "18-25" "Female" "NotHispanic" "AsianAlone" 5 11155
"ALLEGHANY" "26-40" "Female" "NotHispanic" "AsianAlone" 8 11155
"ALLEGHANY" "41-65" "Female" "NotHispanic" "AsianAlone" 4 11155
"ALLEGHANY" "66+" "Female" "NotHispanic" "AsianAlone" 1 11155
"ALLEGHANY" "18-25" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "26-40" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "41-65" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "66+" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "18-25" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "26-40" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "41-65" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "66+" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "18-25" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "26-40" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 1 11155
"ALLEGHANY" "41-65" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "66+" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "18-25" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "26-40" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 11155
"ALLEGHANY" "41-65" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 1 11155
